x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+01,0.000000000000e+00,0.000000000000e+00,1.9613153912460206e+01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,-1.9081065624487536e+01,-2.0148101992883404e+01,2.0000000000000000e+01,2.0000000000000000e+01,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9613153912460206e+01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,-1.9081065624487536e+01,-2.0148101992883404e+01,2.0000000000000000e+01,2.0000000000000000e+01,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,9.375000000000e-01,0.000000000000e+00,1.9273892160620388e+01,5.9136475851875584e+17,1.2743823530430129e+18,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,4.2032458817426689e+24,8.5767955357318982e+23,1.0655005909637032e+00,2.6294985216872992e-02,8.9941967421096543e+12,-1.8742571761363799e+01,-1.9808072352327503e+01,1.8891340992504361e+01,1.9683067518485689e+01,7.6719374783475547e+13,6.8321653503923904e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.831398156644556e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9613153912460206e+01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,-1.9081065624487536e+01,-2.0148101992883404e+01,2.0000000000000000e+01,2.0000000000000000e+01,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,1.875000000000e+00,0.000000000000e+00,1.9100768131503159e+01,1.1403675042054267e+18,1.7325614562640968e+18,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,7.0793316190547621e+24,2.7347864290769384e+24,1.0666758558454792e+00,2.5119720335096917e-02,8.8421634571051641e+12,-1.8568860099805683e+01,-1.9635535955651161e+01,1.8694843973410489e+01,1.9521233406947879e+01,7.3745583108179500e+13,5.9230434321017254e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.922305976270643e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,9.375000000000e-01,0.000000000000e+00,1.9273892160620388e+01,5.9136475851875430e+17,1.2743823530430116e+18,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,4.2032458817426587e+24,8.5767955357318606e+23,1.0655005909637032e+00,2.6294985216872992e-02,8.9941967421096543e+12,-1.8742571761363799e+01,-1.9808072352327503e+01,1.8891340992504361e+01,1.9683067518485689e+01,7.6719374783475562e+13,6.8321653503923917e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.831398156644557e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.250000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9613153912460206e+01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,-1.9081065624487536e+01,-2.0148101992883404e+01,2.0000000000000000e+01,2.0000000000000000e+01,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,2.812500000000e+00,0.000000000000e+00,1.8977457181131790e+01,1.5317705419284019e+18,1.9584678833808486e+18,8.0000000000000000e+13,5.5063022737000333e+17,-5.5055022737000333e+17,6.9564968683344646e+24,4.4368583172474611e+24,1.0705208840907807e+00,2.1274692089795405e-02,8.3624959987908574e+12,-1.8443626635311663e+01,-1.9514147519402442e+01,1.8559332404266204e+01,1.9404126472143993e+01,7.1235587250334578e+13,4.2678278209237677e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,4.267115465051265e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,9.375000000000e-01,0.000000000000e+00,1.9273892160620388e+01,5.9136475851875520e+17,1.2743823530430124e+18,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,4.2032458817426646e+24,8.5767955357318834e+23,1.0655005909637032e+00,2.6294985216872992e-02,8.9941967421096543e+12,-1.8742571761363799e+01,-1.9808072352327503e+01,1.8891340992504361e+01,1.9683067518485689e+01,7.6719374783475547e+13,6.8321653503923904e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.831398156644556e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,1.875000000000e+00,0.000000000000e+00,1.9100768131503159e+01,1.1403675042054232e+18,1.7325614562640937e+18,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,7.0793316190547417e+24,2.7347864290769234e+24,1.0666758558454792e+00,2.5119720335096917e-02,8.8421634571051641e+12,-1.8568860099805683e+01,-1.9635535955651161e+01,1.8694843973410489e+01,1.9521233406947879e+01,7.3745583108179516e+13,5.9230434321017267e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.922305976270644e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
