x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+01,0.000000000000e+00,0.000000000000e+00,1.9610246385439265e+01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,-1.9078054198461597e+01,-2.0145298364867461e+01,2.0000000000000000e+01,2.0000000000000000e+01,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9610246385439265e+01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,-1.9078054198461597e+01,-2.0145298364867461e+01,2.0000000000000000e+01,2.0000000000000000e+01,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,9.375000000000e-01,0.000000000000e+00,1.8532890015061856e+01,7.2151857554283866e+17,1.5206635365394051e+18,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0657332977103227e+00,2.6062278470253636e-02,8.9638874516388340e+12,-1.8001453262431959e+01,-1.9067186560142282e+01,1.8143527619862329e+01,1.8947950807868672e+01,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9610246385439265e+01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,-1.9078054198461597e+01,-2.0145298364867461e+01,2.0000000000000000e+01,2.0000000000000000e+01,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,1.875000000000e+00,0.000000000000e+00,1.8026150230780480e+01,1.5311653904709076e+18,2.2642635022133048e+18,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0668892636694911e+00,2.4906312511085164e-02,8.8148338086793105e+12,-1.7494135495170998e+01,-1.8561024758840489e+01,1.7610274224615164e+01,1.8455511340950689e+01,8.0000000000000000e+13,7.3329942595060352e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,9.375000000000e-01,0.000000000000e+00,1.8532890015061856e+01,7.2151857554283994e+17,1.5206635365394061e+18,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0657332977103227e+00,2.6062278470253636e-02,8.9638874516388340e+12,-1.8001453262431959e+01,-1.9067186560142282e+01,1.8143527619862329e+01,1.8947950807868672e+01,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.250000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9610246385439265e+01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,-1.9078054198461597e+01,-2.0145298364867461e+01,2.0000000000000000e+01,2.0000000000000000e+01,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,2.812500000000e+00,0.000000000000e+00,1.7684315357813968e+01,2.2598377669141870e+18,2.8103403116358881e+18,8.0000000000000000e+13,5.5063022737000333e+17,-5.5055022737000333e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0706811501126405e+00,2.1114426067935777e-02,8.3430777589053564e+12,-1.7150404678982913e+01,-1.8221085829095554e+01,1.7253125744188416e+01,1.8123019717568550e+01,8.0000000000000000e+13,5.5063022737000333e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,9.375000000000e-01,0.000000000000e+00,1.8532890015061856e+01,7.2151857554283981e+17,1.5206635365394061e+18,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0657332977103227e+00,2.6062278470253636e-02,8.9638874516388340e+12,-1.8001453262431959e+01,-1.9067186560142282e+01,1.8143527619862329e+01,1.8947950807868672e+01,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,1.875000000000e+00,0.000000000000e+00,1.8026150230780480e+01,1.5311653904709069e+18,2.2642635022133041e+18,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0668892636694911e+00,2.4906312511085164e-02,8.8148338086793105e+12,-1.7494135495170998e+01,-1.8561024758840489e+01,1.7610274224615164e+01,1.8455511340950689e+01,8.0000000000000000e+13,7.3329942595060352e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.9610246385439265e+01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,-1.9078054198461597e+01,-2.0145298364867461e+01,2.0000000000000000e+01,2.0000000000000000e+01,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
