x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+01,0.000000000000e+00,0.000000000000e+00,-3.8684608753979610e-01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,9.1893437551246626e-01,-1.4810199288340120e-01,-3.3610267347050637e-17,-2.2592062769166699e-17,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.8684608753979610e-01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,9.1893437551246626e-01,-1.4810199288340120e-01,-3.3610267347050637e-17,-2.2592062769166699e-17,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,9.375000000000e-01,0.000000000000e+00,-3.8977621313385885e-01,8.4265681056445897e+07,7.2880800250049933e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,-2.1167079933118647e+14,-8.6333264985411768e+12,1.0655005909637032e+00,2.6294985216872992e-02,8.9941967421096543e+12,9.2109661239044693e-01,-1.4440397857325632e-01,9.3136343925180227e-03,5.4485278244844433e-09,7.9999999999514828e+13,7.2889180554912730e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,7.288118055491278e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.8684608753979610e-01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,9.1893437551246626e-01,-1.4810199288340120e-01,-3.3610267347050637e-17,-2.2592062769166699e-17,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,1.875000000000e+00,0.000000000000e+00,-3.8753666155744293e-01,6.0460851744385950e+07,6.7169723828693402e+17,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,-4.1157494272835688e+14,-1.6261209344112605e+13,1.0666758558454792e+00,2.5119720335096917e-02,8.8421634571051641e+12,9.1944469325491907e-01,-1.4723116259056035e-01,2.2408632463558065e-02,1.0848093360602928e-08,7.9999999999643516e+13,6.7178108558067162e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.717010855806720e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,9.375000000000e-01,0.000000000000e+00,-3.8977621313385913e-01,8.4265681056444958e+07,7.2880800250049933e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,-2.1167079933119378e+14,-8.6333264985414746e+12,1.0655005909637032e+00,2.6294985216872992e-02,8.9941967421096543e+12,9.2109661239044716e-01,-1.4440397857325604e-01,9.3136343925181130e-03,5.4485275469286871e-09,7.9999999999514828e+13,7.2889180554912730e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,7.288118055491278e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.250000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.8684608753979610e-01,1.1755480210175095e+08,6.5501975044935757e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,1.8565458887598381e+00,7.2585630561745884e-02,1.0670363683958675e+00,2.4759207784708789e-02,8.7960443322738125e+12,9.1893437551246626e-01,-1.4810199288340120e-01,-3.3610267347050637e-17,-2.2592062769166699e-17,7.9999999999301906e+13,6.5509975027129664e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.550197502712973e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,2.812500000000e+00,0.000000000000e+00,-3.8006732187681075e-01,4.2520716286946826e+07,5.1209227646731277e+17,8.0000000000000000e+13,5.5063022737000333e+17,-5.5055022737000333e+17,-5.2441510564520588e+14,-1.8199638398195539e+13,1.0705208840907807e+00,2.1274692089795405e-02,8.3624959987908574e+12,9.1389786769693770e-01,-1.5662301639384330e-01,4.0088822372899256e-02,1.6980973605265517e-08,7.9999999999730078e+13,5.1217629327337651e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.120962932733768e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,9.375000000000e-01,0.000000000000e+00,-3.8977621313385913e-01,8.4265681056445211e+07,7.2880800250049933e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,-2.1167079933119125e+14,-8.6333264985413701e+12,1.0655005909637032e+00,2.6294985216872992e-02,8.9941967421096543e+12,9.2109661239044716e-01,-1.4440397857325604e-01,9.3136343925179898e-03,5.4485275469286871e-09,7.9999999999514828e+13,7.2889180554912730e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,7.288118055491278e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,1.875000000000e+00,0.000000000000e+00,-3.8753666155744282e-01,6.0460851744386040e+07,6.7169723828693402e+17,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,-4.1157494272835444e+14,-1.6261209344112512e+13,1.0666758558454792e+00,2.5119720335096917e-02,8.8421634571051641e+12,9.1944469325491895e-01,-1.4723116259056046e-01,2.2408632463558051e-02,1.0848093471625231e-08,7.9999999999643516e+13,6.7178108558067162e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.717010855806720e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
