x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+01,0.000000000000e+00,0.000000000000e+00,-4.0442681944511089e-01,4.5977940718482926e+07,7.1393489388537062e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,2.3605228767160408e-03,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5129221131013553e-01,-1.4529836487044084e-01,-2.7348999800946849e-17,-4.4452289071905682e-18,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.0442681944511089e-01,4.5977940718482926e+07,7.1393489388537062e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,2.3605228767160408e-03,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5129221131013553e-01,-1.4529836487044084e-01,-2.7348999800946849e-17,-4.4452289071905682e-18,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,9.375000000000e-01,0.000000000000e+00,-4.0833113923252579e-01,3.0712129895454701e+07,7.9955967290356787e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,-3.8863722028001265e+12,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5519653109755043e-01,-1.4139404508302594e-01,1.0004193084439873e-02,6.6108820891488951e-14,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.0442681944511089e-01,4.5977940718482926e+07,7.1393489388537062e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,2.3605228767160408e-03,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5129221131013553e-01,-1.4529836487044084e-01,-2.7348999800946849e-17,-4.4452289071905682e-18,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,1.875000000000e+00,0.000000000000e+00,-4.0534530028865079e-01,2.2063066579516008e+07,7.3321435680324954e+17,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,0.0000000000000000e+00,-7.5629851124494873e+12,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5221069215367538e-01,-1.4437988402690094e-01,2.4390854047596083e-02,1.3123849880100624e-13,8.0000000000000000e+13,7.3329942595060352e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,9.375000000000e-01,0.000000000000e+00,-4.0833113923252579e-01,3.0712129895454701e+07,7.9955967290356787e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,-3.8863722028001265e+12,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5519653109755043e-01,-1.4139404508302594e-01,1.0004193084439873e-02,6.6108820891488951e-14,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.250000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.0442681944511089e-01,4.5977940718482926e+07,7.1393489388537062e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,2.3605228767160408e-03,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5129221131013553e-01,-1.4529836487044084e-01,-2.7348999800946849e-17,-4.4452289071905682e-18,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,2.812500000000e+00,0.000000000000e+00,-3.9546883455419873e-01,1.6711629106804600e+07,5.5054515747064038e+17,8.0000000000000000e+13,5.5063022737000333e+17,-5.5055022737000333e+17,0.0000000000000000e+00,-9.3483226091269102e+12,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.4233422641922338e-01,-1.5425634976135300e-01,4.3842905179378805e-02,2.0971763279968580e-13,8.0000000000000000e+13,5.5063022737000333e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,9.375000000000e-01,0.000000000000e+00,-4.0833113923252579e-01,3.0712129895454701e+07,7.9955967290356787e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,-3.8863722028001265e+12,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5519653109755043e-01,-1.4139404508302594e-01,1.0004193084439873e-02,6.6108820891488951e-14,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,1.875000000000e+00,0.000000000000e+00,-4.0534530028865073e-01,2.2063066579516008e+07,7.3321435680324954e+17,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,0.0000000000000000e+00,-7.5629851124494873e+12,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5221069215367538e-01,-1.4437988402690100e-01,2.4390854047596139e-02,1.3129400995223750e-13,8.0000000000000000e+13,7.3329942595060352e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
