x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+01,0.000000000000e+00,0.000000000000e+00,-3.8975361456073637e-01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,9.2194580153840544e-01,-1.4529836486745978e-01,-1.1709383462843448e-17,1.0354130747236567e-17,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.8975361456073637e-01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,9.2194580153840544e-01,-1.4529836486745978e-01,-1.1709383462843448e-17,1.0354130747236567e-17,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,9.375000000000e-01,0.000000000000e+00,-3.9290254228672467e-01,7.8136676708208531e+07,7.9956065386620890e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0657332977103227e+00,2.6062278470253636e-02,8.9638874516388340e+12,9.2433929491662248e-01,-1.4139400279370024e-01,8.6739071796339152e-03,3.9366567731319302e-13,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.8975361456073637e-01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,9.2194580153840544e-01,-1.4529836486745978e-01,-1.1709383462843448e-17,1.0354130747236567e-17,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,1.875000000000e+00,0.000000000000e+00,-3.9049468961524625e-01,5.8628650141349956e+07,7.3321532641827418e+17,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0668892636694911e+00,2.4906312511085164e-02,8.8148338086793105e+12,9.2250942522472823e-01,-1.4437983844476288e-01,2.0404610948644035e-02,7.8213593913099844e-13,8.0000000000000000e+13,7.3329942595060352e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,9.375000000000e-01,0.000000000000e+00,-3.9290254228672467e-01,7.8136676708208486e+07,7.9956065386620890e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0657332977103227e+00,2.6062278470253636e-02,8.9638874516388340e+12,9.2433929491662248e-01,-1.4139400279370024e-01,8.6739071796339152e-03,3.9366567731319302e-13,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
6.250000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.8975361456073637e-01,1.0772042794843365e+08,7.1393489394711309e+17,8.0000000000000000e+13,7.1401489383939264e+17,-7.1393489383939264e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0672441664058652e+00,2.4551409774711010e-02,8.7695708163685312e+12,9.2194580153840544e-01,-1.4529836486745978e-01,-1.1709383462843448e-17,1.0354130747236567e-17,8.0000000000000000e+13,7.1401489383939264e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+01,2.812500000000e+00,0.000000000000e+00,-3.8251417819790917e-01,4.4636367095664419e+07,5.5054606274565766e+17,8.0000000000000000e+13,5.5063022737000333e+17,-5.5055022737000333e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0706811501126405e+00,2.1114426067935777e-02,8.3430777589053564e+12,9.1642485702896592e-01,-1.5425629308367467e-01,3.5888087546844076e-02,1.2516176246465949e-12,8.0000000000000000e+13,5.5063022737000333e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
7.500000000000e+00,9.375000000000e-01,0.000000000000e+00,-3.9290254228672467e-01,7.8136676708208486e+07,7.9956065386620890e+17,8.0000000000000000e+13,7.9964474169793946e+17,-7.9956474169793946e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0657332977103227e+00,2.6062278470253636e-02,8.9638874516388340e+12,9.2433929491662248e-01,-1.4139400279370024e-01,8.6739071796339152e-03,3.9366567731319302e-13,8.0000000000000000e+13,7.9964474169793946e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
8.750000000000e+00,1.875000000000e+00,0.000000000000e+00,-3.9049468961524619e-01,5.8628650141350269e+07,7.3321532641827418e+17,8.0000000000000000e+13,7.3329942595060352e+17,-7.3321942595060352e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0668892636694911e+00,2.4906312511085164e-02,8.8148338086793105e+12,9.2250942522472823e-01,-1.4437983844476293e-01,2.0404610948643907e-02,7.8219145028222969e-13,8.0000000000000000e+13,7.3329942595060352e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
