x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,-3.9552009463270443e-01,9.7699147400811657e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-1.9059168927623523e+02,-8.2943188473654985e+01,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,9.2531160752264097e-01,-1.3713121070775924e-01,-3.9599562778186437e-14,-1.0627063736379921e-13,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159872e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,0.000000000000e+00,0.000000000000e+00,-3.9552009463289273e-01,9.7699147400811657e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-1.9059168927623523e+02,-8.2943188473654985e+01,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,9.2531160752282926e-01,-1.3713121070757095e-01,-2.2789338775461299e-13,-2.9456446234022576e-13,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159872e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,1.718750000000e+00,0.000000000000e+00,-3.9375807520598072e-01,7.3873923263827518e+07,8.4281925415143834e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,-2.5996318467165605e+13,-1.1119928417236053e+13,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,9.2402175719645285e-01,-1.3936539923501856e-01,1.0925162365555317e-02,1.6180993485208350e-09,8.9999999999542359e+13,8.4291003188031078e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.428200318803112e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,0.000000000000e+00,0.000000000000e+00,-3.9552009463289273e-01,9.7699147400811657e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-1.9059168927623523e+02,-8.2943188473654985e+01,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,9.2531160752282926e-01,-1.3713121070757095e-01,-2.2789338775461299e-13,-2.9456446234022576e-13,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159872e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,3.437500000000e+00,0.000000000000e+00,-3.8844240905727967e-01,5.5175015862798005e+07,6.9422974395622938e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,-4.4960044977893406e+13,-1.8000754003599074e+13,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,9.2011317877788745e-01,-1.4608815311385526e-01,2.4893602185860148e-02,3.2711411597561961e-09,8.9999999999637859e+13,6.9432054295500122e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.942305429550015e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,1.718750000000e+00,0.000000000000e+00,-3.9375807502675197e-01,7.3696911275276557e+07,8.4281925415127411e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,-2.6163345392632996e+13,-1.1191374205109037e+13,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,9.2402175701722411e-01,-1.3936539941424730e-01,1.1007854860857735e-02,1.7973213148222934e-09,8.9999999999543453e+13,8.4291003188032691e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.428200318803273e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.062500000000e+01,0.000000000000e+00,0.000000000000e+00,-3.9552009463289273e-01,9.7699147400811657e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-1.9059168927623523e+02,-8.2943188473654985e+01,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,9.2531160752282926e-01,-1.3713121070757095e-01,-2.2789338775461299e-13,-2.9456446234022576e-13,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159873e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,5.156250000000e+00,0.000000000000e+00,-3.7947600320277930e-01,4.0297845791002415e+07,5.0124655381465280e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,-5.3479016555240484e+13,-1.8343593194268527e+13,1.0708194407245228e+00,2.0976135456053410e-02,8.3263583597559922e+12,9.1345582733977715e-01,-1.5736361338474569e-01,4.2381637611306484e-02,5.0351978363286131e-09,8.9999999999711406e+13,5.0133739660588877e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.012473966058890e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,1.718750000000e+00,0.000000000000e+00,-3.9375807434937315e-01,7.2850031791504443e+07,8.4281925415039462e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,-2.6962453281175898e+13,-1.1533192702528627e+13,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,9.2402175633984529e-01,-1.3936540009162612e-01,1.1406249257337211e-02,2.4746639403866412e-09,8.9999999999548703e+13,8.4291003188041280e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.428200318804133e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,3.437500000000e+00,0.000000000000e+00,-3.8844240872649738e-01,5.4897143076334760e+07,6.9422974395596890e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,-4.5173868376188305e+13,-1.8086362956914594e+13,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,9.2011317844710516e-01,-1.4608815344463755e-01,2.5067635776028555e-02,3.6019104650937203e-09,8.9999999999639688e+13,6.9432054295502362e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.942305429550240e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
