x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,-4.1629061347937246e-01,3.2589092273486339e+07,9.9991000003258906e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6315600534439705e-01,-1.3343457083617927e-01,-1.8885121331330135e-13,-7.3199814807668739e-14,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,0.000000000000e+00,0.000000000000e+00,-4.1629061347937246e-01,3.2589092273486339e+07,9.9991000003258906e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6315600534439705e-01,-1.3343457083617927e-01,-1.8885121331330135e-13,-7.3199814807668739e-14,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,1.718750000000e+00,0.000000000000e+00,-4.1390215404688246e-01,2.4681944342712659e+07,9.3342342489610688e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6076754591190705e-01,-1.3582303026866926e-01,1.1967680559546848e-02,-2.7199936910009964e-13,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,0.000000000000e+00,0.000000000000e+00,-4.1629061347937246e-01,3.2589092273486339e+07,9.9991000003258906e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6315600534439705e-01,-1.3343457083617927e-01,-1.8885121331330135e-13,-7.3199814807668739e-14,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,3.437500000000e+00,0.000000000000e+00,-4.0674317231255142e-01,1.9423515961101301e+07,7.5933277861645376e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5360856417757600e-01,-1.4298201200300031e-01,2.7385081599825244e-02,6.2114172854656202e-14,9.0000000000000375e+13,7.5942381948994214e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,1.718750000000e+00,0.000000000000e+00,-4.1390215404688246e-01,2.4620697892081078e+07,9.3342342489604570e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6076754591190705e-01,-1.3582303026866926e-01,1.2053319986807726e-02,-2.7428028652552033e-13,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.062500000000e+01,0.000000000000e+00,0.000000000000e+00,-4.1629061347956076e-01,3.2589092273486339e+07,9.9991000003258906e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6315600534458534e-01,-1.3343457083599097e-01,-3.7714503828972790e-13,-2.6149363978409529e-13,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,5.156250000000e+00,0.000000000000e+00,-3.9482853008192298e-01,1.5742850946877811e+07,5.3828966283421466e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.4169392194694757e-01,-1.5489665423362875e-01,4.6541665354015826e-02,4.6788067127254140e-15,9.0000000000000781e+13,5.3838070049497280e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,1.718750000000e+00,0.000000000000e+00,-4.1390215404688246e-01,2.4324222791875500e+07,9.3342342489560563e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6076754591190705e-01,-1.3582303026866926e-01,1.2470908657039112e-02,-2.9064768712443179e-13,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,3.437500000000e+00,0.000000000000e+00,-4.0674317231273971e-01,1.9320294575378284e+07,7.5933277861635034e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5360856417776430e-01,-1.4298201200281202e-01,2.7568748619945706e-02,-1.3088981938233490e-13,9.0000000000000375e+13,7.5942381948994214e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
