x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G
3.125000000000e+00,1.718750000000e+00,0.000000000000e+00,-3.9375807620748260e-01,1.0121395960444140e+08,8.4281925417636531e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,-1.9850527782295499e+11,-8.4910658984578247e+10,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,9.2402175819795473e-01,-1.3936539823351668e-01,7.1570401160095669e-05,6.1762319374493793e-10,8.9999999999372922e+13,8.4291003187787622e+17,2.757266214468151e+02,1.273001683818766e+02,2.058962488456038e+01,8.844345003598849e-10,3.013908619430086e-05,3.013992205535647e-05,3.505928577937800e-01,3.183086611627537e-06,1.562021871376208e-11,1.721635247217160e-14,1.563743506623425e-11
6.250000000000e+00,3.437500000000e+00,0.000000000000e+00,-3.8844241040118521e-01,1.1270938170171183e+08,6.9422974400923366e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,-6.8729058907649011e+11,-2.7517208031605823e+11,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,9.2011318012179300e-01,-1.4608815176994971e-01,2.7207703607035847e-04,1.9298806927661250e-09,8.9999999999259844e+13,6.9432054295043354e+17,2.918976761826691e+02,1.352433924499971e+02,4.154784057372287e+01,2.750576985872169e-09,4.624444561885888e-05,4.624661543841100e-05,8.382004657701430e-01,5.238297317137567e-06,2.924600908144516e-17,1.161788645152102e-14,1.164713246060247e-14
3.125000000000e+00,3.437500000000e+00,0.000000000000e+00,-3.8844241113653466e-01,1.1323258735201855e+08,6.9422974400972467e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,-2.8468330594661127e+11,-1.1397929605596259e+11,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,9.2011318085714244e-01,-1.4608815103460027e-01,1.1243726622577358e-04,1.1945557685789877e-09,8.9999999999256406e+13,6.9432054295039130e+17,2.918978760395902e+02,1.352433924500071e+02,4.154783913203549e+01,8.886249136381905e-10,2.603159802524112e-05,2.603223104582893e-05,2.754265335339474e-01,3.070447989878016e-06,9.798485017364232e-18,1.340248207370182e-15,1.350046692387546e-15
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.9552009463810434e-01,9.7699147385393903e+07,8.9888880945633843e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,1.9003283168876281e-01,8.3011748239921690e-02,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,9.2531160752804087e-01,-1.3713121070235934e-01,3.2851325826310784e-17,-4.7704895589362195e-18,8.9999999999406812e+13,8.9897880920147955e+17,2.705336603068972e+02,1.246699586583464e+02,1.025174327473587e+01,5.883512933855003e-10,2.591224873885591e-05,2.591283709014930e-05,2.939364149145176e-01,2.785919520101892e-06,2.823664664445872e-11,2.518693634216402e-14,2.826183358080089e-11
3.125000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.9552009463810434e-01,9.7699147385393903e+07,8.9888880945633843e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,1.9003283168876281e-01,8.3011748239921690e-02,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,9.2531160752804087e-01,-1.3713121070235934e-01,3.2851325826310784e-17,-4.7704895589362195e-18,8.9999999999406812e+13,8.9897880920147955e+17,2.705336603063670e+02,1.246699586581590e+02,1.025174419969677e+01,9.059692797971557e-10,3.156154908015191e-05,3.156245504943170e-05,4.951384363667389e-01,3.579406880486860e-06,3.661271406376095e-11,4.379363419822794e-14,3.665650769795917e-11
0.000000000000e+00,1.718750000000e+00,0.000000000000e+00,-3.9375807631803561e-01,1.0128771294851358e+08,8.4281925417643430e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,-1.2891228520504529e+11,-5.5142247138312714e+10,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,9.2402175830850775e-01,-1.3936539812296367e-01,4.6462070846236528e-05,5.0707301651033241e-10,8.9999999999372469e+13,8.4291003187786957e+17,2.757266409551642e+02,1.273001683819296e+02,2.058962427352420e+01,5.226488397480298e-10,2.442988251724192e-05,2.443039185379777e-05,2.141962071989301e-01,2.590781219953740e-06,1.305005448529227e-11,1.056387153597689e-14,1.306061835682824e-11
6.250000000000e+00,5.156250000000e+00,0.000000000000e+00,-3.7947600558484212e-01,1.3676350104459578e+08,5.0124655390496262e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,-5.7157032471284436e+11,-1.9605173064676746e+11,1.0708194407245228e+00,2.0976135456053410e-02,8.3263583597559922e+12,9.1345582972184003e-01,-1.5736361100268287e-01,2.6166351790772341e-04,2.6593681283119215e-09,8.9999999999018688e+13,5.0133739659965114e+17,3.207128823293000e+02,1.484838354358821e+02,6.337035948504396e+01,3.235697636682161e-09,3.641991445241615e-05,3.642174057880617e-05,7.592303649928712e-01,5.151289021364346e-06,2.235355301165904e-17,1.248055837734903e-14,1.250291193036069e-14
3.125000000000e+00,5.156250000000e+00,0.000000000000e+00,-3.7947600653640157e-01,1.3735240380377394e+08,5.0124655390552352e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,-2.4858137788102997e+11,-8.5264764864834717e+10,1.0708194407245228e+00,2.0976135456053410e-02,8.3263583597559922e+12,9.1345583067339942e-01,-1.5736361005112343e-01,1.1355650857156475e-04,1.7078474021006273e-09,8.9999999999014469e+13,5.0133739659961235e+17,3.207130929913878e+02,1.484838354358877e+02,6.337035856234661e+01,1.092257388109166e-09,2.014342223546075e-05,2.014376750552654e-05,2.535461059815536e-01,2.944562442657974e-06,7.390798512394132e-18,1.571820991866722e-15,1.579211790379116e-15
0.000000000000e+00,3.437500000000e+00,0.000000000000e+00,-3.8844241134107310e-01,1.1335820604653879e+08,6.9422974400984333e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,-1.8801959201021915e+11,-7.5277827306421753e+10,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,9.2011318106168094e-01,-1.4608815083006182e-01,7.4218454124841274e-05,9.9002323480641523e-10,8.9999999999255594e+13,6.9432054295038106e+17,2.918979162541193e+02,1.352433924500100e+02,4.154783866558927e+01,3.898680694590770e-10,2.046106628790012e-05,2.046135470746764e-05,1.263215644920804e-01,2.451466231619506e-06,5.796598659026580e-18,2.320109315447956e-16,2.378075302038221e-16
6.250000000000e+00,1.718750000000e+00,0.000000000000e+00,-3.9375807579267802e-01,1.0089286342848282e+08,8.4281925417596864e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,-5.0148874365656702e+11,-2.1451187678309103e+11,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,9.2402175778315021e-01,-1.3936539864832126e-01,1.8109684028003262e-04,1.0324114474701560e-09,8.9999999999374906e+13,8.4291003187791501e+17,2.757265282156886e+02,1.273001683816598e+02,2.058962584572162e+01,2.469588703466746e-09,5.189564735858323e-05,5.189797496017109e-05,9.394477480865367e-01,5.369217814408194e-06,2.619795245202206e-11,4.965043926330590e-14,2.624760289128536e-11
