x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,-4.1603862234428901e-01,3.2828210765809193e+07,9.9991000003282816e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6290401420931360e-01,-1.3368656197126272e-01,-2.1141942363467336e-17,2.4123498337802474e-18,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,0.000000000000e+00,0.000000000000e+00,-4.1603862234428901e-01,3.2828210765809193e+07,9.9991000003282816e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6290401420931360e-01,-1.3368656197126272e-01,-2.1141942363467336e-17,2.4123498337802474e-18,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,1.718750000000e+00,0.000000000000e+00,-4.1366691414118839e-01,3.5122583352377020e+07,9.3342343084091891e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6053230600621298e-01,-1.3605827017436334e-01,4.3095110885256076e-05,4.4249543265650892e-15,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,0.000000000000e+00,0.000000000000e+00,-4.1603862234428901e-01,3.2828210765809193e+07,9.9991000003282816e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6290401420931360e-01,-1.3368656197126272e-01,-2.1141942363467336e-17,2.4123498337802474e-18,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,3.437500000000e+00,0.000000000000e+00,-4.0655179675751174e-01,4.3143817928613394e+07,7.5933278123090355e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5341718862253633e-01,-1.4317338755803999e-01,6.8050683762621068e-05,8.5065960352126435e-15,9.0000000000000375e+13,7.5942381948994214e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,1.718750000000e+00,0.000000000000e+00,-4.1366691414118645e-01,3.5098932155123152e+07,9.3342343084089536e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6053230600621109e-01,-1.3605827017436528e-01,6.6314230484375633e-05,5.5106201719834491e-15,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.062500000000e+01,0.000000000000e+00,0.000000000000e+00,-4.1603862234428901e-01,3.2828210765809193e+07,9.9991000003282816e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6290401420931360e-01,-1.3368656197126272e-01,-2.1141942363467336e-17,2.4123498337802474e-18,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,5.156250000000e+00,0.000000000000e+00,-3.9469285547463617e-01,6.0858282781613670e+07,5.3828966203830643e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.4155824733966076e-01,-1.5503232884091556e-01,6.9240477013252717e-05,1.2516111194335600e-14,9.0000000000000781e+13,5.3838070049497280e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,1.718750000000e+00,0.000000000000e+00,-4.1366691414117279e-01,3.4995667312617294e+07,9.3342343084065024e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.6053230600619743e-01,-1.3605827017437894e-01,1.6787618329825745e-04,1.0104357671750219e-14,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,3.437500000000e+00,0.000000000000e+00,-4.0655179675750758e-01,4.3100226178801253e+07,7.5933278123085990e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0965905761805763e+00,0.0000000000000000e+00,5.7293329653562607e+12,9.5341718862253222e-01,-1.4317338755804415e-01,1.0289548779337019e-04,1.0649358998804370e-14,9.0000000000000375e+13,7.5942381948994214e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
