x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,3.0447990535488945e-01,9.7699147329605535e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-7.2114013833934921e+04,-3.1383143009718002e+04,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,2.2531160753504709e-01,-8.3713121069535312e-01,7.0000000001267648e-01,6.9999999998748763e-01,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159873e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,0.000000000000e+00,0.000000000000e+00,3.0447990535488945e-01,9.7699147329605535e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-7.2114013833934921e+04,-3.1383143009718002e+04,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,2.2531160753504709e-01,-8.3713121069535312e-01,7.0000000001267648e-01,6.9999999998748763e-01,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159873e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,1.718750000000e+00,0.000000000000e+00,3.0573155161068466e-01,4.1639019864348415e+15,8.4661285461797581e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,3.9232321251941810e+21,1.7139625737935441e+21,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,2.2453213037978748e-01,-8.3885502605168394e-01,9.5227210427780179e-02,6.9964538550262823e-01,8.9974201633770031e+13,8.4253967933755162e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.424497051359178e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,0.000000000000e+00,0.000000000000e+00,3.0447990535488945e-01,9.7699147329605535e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-7.2114013833934921e+04,-3.1383143009718002e+04,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,2.2531160753504709e-01,-8.3713121069535312e-01,7.0000000001267648e-01,6.9999999998748763e-01,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159873e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,3.437500000000e+00,0.000000000000e+00,3.1044979595808131e-01,8.6856947099863410e+15,7.0222705367440269e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,6.6589437941173348e+21,2.8037384331069064e+21,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,2.2122097376252647e-01,-8.4498035812921624e-01,7.3194425391241200e-02,6.9928902968307094e-01,8.9942965370785828e+13,6.9363202969094362e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.935420867255729e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,1.718750000000e+00,0.000000000000e+00,3.0568438606095311e-01,4.2831037584623655e+15,8.4672146000976435e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,4.0353747356766941e+21,1.7640110293015386e+21,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,2.2457929592951903e-01,-8.3880786050195233e-01,9.4207104725594251e-02,6.9960266883628419e-01,8.9973463285731078e+13,8.4252908116095872e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.424391076976730e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.062500000000e+01,0.000000000000e+00,0.000000000000e+00,3.0447990535488945e-01,9.7699147329605535e+07,8.9888880931368640e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,-7.2114013833934921e+04,-3.1383143009718002e+04,1.0624428182304002e+00,2.9352757950176070e-02,9.4021138772335957e+12,2.2531160753504709e-01,-8.3713121069535312e-01,7.0000000001267648e-01,6.9999999998748763e-01,8.9999999999406812e+13,8.9897880921598669e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.988888092159873e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,5.156250000000e+00,0.000000000000e+00,3.1854631738808581e-01,1.4100808017875948e+16,5.1443807905819667e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,7.6706430825112357e+21,2.9238816237715970e+21,1.0708194407245228e+00,2.0976135456053410e-02,8.3263583597559922e+12,2.1543350674891204e-01,-8.5538593397561080e-01,6.2278134290189809e-02,6.9892106296871159e-01,8.9898845550152312e+13,5.0042782736682029e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.003379285212701e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,1.718750000000e+00,0.000000000000e+00,3.0550609886599517e-01,4.7489044796305570e+15,8.4714585540427174e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,4.4735008069952251e+21,1.9601083629827457e+21,1.0633871564314714e+00,2.8408419749104834e-02,9.2741995691456602e+12,2.2475758312447697e-01,-8.3862957330699439e-01,9.0470213417904899e-02,6.9944176102888722e-01,8.9970578170927562e+13,8.4248766924690790e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,8.423976986687370e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,3.437500000000e+00,0.000000000000e+00,3.1036176015063072e-01,8.8961459051612660e+15,7.0242084052323674e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,6.8196838525792724e+21,2.8748539183898653e+21,1.0662013318917427e+00,2.5594244288833584e-02,8.9032364807157695e+12,2.2130900956997707e-01,-8.4489232232176559e-01,7.2281110317401323e-02,6.9921055356340434e-01,8.9941584241988359e+13,6.9361536192786726e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.935254203436252e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
