x,y,z,psi,n,p,Donor,Acceptor,NetDoping,R_SRH,R_Auger,Eg_eff,Eg_bgn,nie,EC,EV,phi_n,phi_p,ND_II,NA_II,mu_n_low,mu_p_low,E,Jn,Jp,J,grad_phi_n,grad_phi_p,Gn,Gp,G,TotalTrapConcentration,eTrappedCharge,hTrappedCharge,Rn_trap,Rp_trap
1.000000000000e+02,0.000000000000e+00,0.000000000000e+00,3.0088976486515001e-01,8.7664522281480491e+07,9.9991000008766451e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0627338017579189e+00,2.9061774422657383e-02,9.3625120818165156e+12,2.2904723978854585e-01,-8.3368656196937296e-01,7.0000000000000062e-01,7.0000000000000073e-01,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,0.000000000000e+00,0.000000000000e+00,3.0088976486515001e-01,8.7664522281480491e+07,9.9991000008766451e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0627338017579189e+00,2.9061774422657383e-02,9.3625120818165156e+12,2.2904723978854585e-01,-8.3368656196937296e-01,7.0000000000000062e-01,7.0000000000000073e-01,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,1.718750000000e+00,0.000000000000e+00,3.0258105279601416e-01,4.5709834223925110e+15,9.3799464063242829e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0636588036978070e+00,2.8136772482769318e-02,9.2377272310001777e+12,2.2781845282762575e-01,-8.3584035087018116e-01,8.8726875752741463e-02,6.9995047368183316e-01,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,0.000000000000e+00,0.000000000000e+00,3.0088976486515001e-01,8.7664522281480491e+07,9.9991000008766451e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0627338017579189e+00,2.9061774422657383e-02,9.3625120818165156e+12,2.2904723978854585e-01,-8.3368656196937296e-01,7.0000000000000062e-01,7.0000000000000073e-01,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,3.437500000000e+00,0.000000000000e+00,3.0798955739168521e-01,9.7911403256068980e+15,7.6912419368930112e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0664223422344665e+00,2.5373233946109644e-02,8.8747393102113359e+12,2.2379171750028448e-01,-8.4263062473418204e-01,6.6496616535140954e-02,6.9989886951580849e-01,9.0000000000000375e+13,7.5942381948994214e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,1.718750000000e+00,0.000000000000e+00,3.0256748341994505e-01,4.7390648624084940e+15,9.3816272299161344e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0636588036978070e+00,2.8136772482769318e-02,9.2377272310001777e+12,2.2783202220369486e-01,-8.3582678149411205e-01,8.7468568749882292e-02,6.9994308042503128e-01,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.062500000000e+01,0.000000000000e+00,0.000000000000e+00,3.0088976486515001e-01,8.7664522281480491e+07,9.9991000008766451e+17,9.0000000000000062e+13,1.0000000000000000e+18,-9.9991000000000000e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0627338017579189e+00,2.9061774422657383e-02,9.3625120818165156e+12,2.2904723978854585e-01,-8.3368656196937296e-01,7.0000000000000062e-01,7.0000000000000073e-01,9.0000000000000062e+13,1.0000000000000000e+18,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000e+02,5.156250000000e+00,0.000000000000e+00,3.1691524933055626e-01,1.6497032653522768e+16,5.5478708556683270e+17,9.0000000000000781e+13,5.3838070049497280e+17,-5.3829070049497280e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0709761459888461e+00,2.0819430191730263e-02,8.3074531117704648e+12,2.1714292743860319e-01,-8.5383321855024286e-01,5.5162669166331127e-02,6.9984143562047385e-01,9.0000000000000781e+13,5.3838070049497280e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.375000000000e+01,1.718750000000e+00,0.000000000000e+00,3.0251545786096529e-01,5.3847350283441710e+15,9.3880839644815309e+17,9.0000000000000172e+13,9.3351446901720742e+17,-9.3342446901720742e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0636588036978070e+00,2.8136772482769318e-02,9.2377272310001777e+12,2.2788404776267462e-01,-8.3577475593513229e-01,8.3013835542414871e-02,6.9991476959471211e-01,9.0000000000000172e+13,9.3351446901720742e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.687500000000e+01,3.437500000000e+00,0.000000000000e+00,3.0796164263682885e-01,1.0106862823586448e+16,7.6943991824865370e+17,9.0000000000000375e+13,7.5942381948994214e+17,-7.5933381948994214e+17,0.0000000000000000e+00,0.0000000000000000e+00,1.0664223422344665e+00,2.5373233946109644e-02,8.8747393102113359e+12,2.2381963225514084e-01,-8.4260270997932563e-01,6.5374757289636515e-02,6.9988510147496097e-01,9.0000000000000375e+13,7.5942381948994214e+17,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
