DF-ISE text

Info {
  version = 1.0
  type    = dataset
  dimension   = 2
  nb_vertices = 2543
  nb_edges    = 7430
  nb_faces    = 0
  nb_elements = 4920
  nb_regions  = 4
  datasets    = [ "ElectrostaticPotential" "eDensity" "hDensity" "LatticeTemperature" "EffectiveIntrinsicDensity" "IntrinsicDensity" "eEquilibriumDensity" "hEquilibriumDensity" "BandGap" "EffectiveBandGap" "BandgapNarrowing" "ValenceBandEnergy" "ConductionBandEnergy" "hEffectiveStateDensity" "eEffectiveStateDensity" "eQuasiFermiEnergy" "hQuasiFermiEnergy" "ElectronAffinity" "TotalCurrentDensity" "eCurrentDensity" "hCurrentDensity" "eMobility" "hMobility" "eVelocity" "hVelocity" "ElectricField" "eQuasiFermiPotential" "hQuasiFermiPotential" "SpaceCharge" "eGradQuasiFermi" "hGradQuasiFermi" "eEparallel" "hEparallel" "eEnormal" "hEnormal" "srhRecombination" "Band2BandGeneration" "AugerRecombination" "RadiativeRecombination" "ImpactIonization" "eImpactIonization" "hImpactIonization" "eAlphaAvalanche" "hAlphaAvalanche" "TotalRecombination" "eLifetime" "hLifetime" "SurfaceRecombination" "DopingConcentration" "DonorConcentration" "AcceptorConcentration" "DonorPlusConcentration" "AccepMinusConcentration" "QuasiFermiPotential" ]
  functions   = [ ElectrostaticPotential eDensity hDensity LatticeTemperature EffectiveIntrinsicDensity IntrinsicDensity eEquilibriumDensity hEquilibriumDensity BandGap EffectiveBandGap BandgapNarrowing ValenceBandEnergy ConductionBandEnergy hEffectiveStateDensity eEffectiveStateDensity eQuasiFermiEnergy hQuasiFermiEnergy ElectronAffinity TotalCurrentDensity eCurrentDensity hCurrentDensity eMobility hMobility eVelocity hVelocity ElectricField eQuasiFermiPotential hQuasiFermiPotential SpaceCharge eGradQuasiFermi hGradQuasiFermi eEparallel hEparallel eEnormal hEnormal srhRecombination Band2BandGeneration AugerRecombination RadiativeRecombination ImpactIonization eImpactIonization hImpactIonization eAlphaAvalanche hAlphaAvalanche TotalRecombination eLifetime hLifetime SurfaceRecombination DopingConcentration DonorConcentration AcceptorConcentration DonorPlusConcentration AccepMinusConcentration QuasiFermiPotential ]
}

Data {

  Dataset ("ElectrostaticPotential") {
    function  = ElectrostaticPotential
    type      = scalar
    dimension = 1
    location  = vertex
    validity  = [ "N-" ]
    Values (2543) {
 -4.139021540469858e-01 -4.162906134792992e-01 -4.139021540469874e-01 -4.067431723136772e-01 -4.067431723136804e-01 -4.139021540469741e-01 -4.162906134792992e-01 -4.067431723136643e-01 -3.948285300848002e-01 -3.948285300848056e-01
 -3.781729225918654e-01 -3.781729225918747e-01 -3.948285300847791e-01 -3.781729225918306e-01 -4.139021518789834e-01 -4.162906134792992e-01 -4.067431723136062e-01 -4.139021535263799e-01 -4.162905771738990e-01 -4.067431723135209e-01
 -3.948285300847248e-01 -3.781729225917458e-01 -3.948285300846014e-01 -3.781729225915704e-01 -3.567830903233989e-01 -3.567830903234161e-01 -3.306533471911165e-01 -3.306533471911526e-01 -3.567830903233357e-01 -3.306533471909850e-01
 -2.997578739450205e-01 -2.997578739451078e-01 -2.997578739447059e-01 -2.825021316135761e-01 -2.825021316137190e-01 -2.640144865185698e-01 -2.640144865188110e-01 -2.825021316130635e-01 -2.640144865177085e-01 -3.567830903231863e-01
 -3.306533471906811e-01 -3.567830903228864e-01 -3.306533471900556e-01 -2.997578739439897e-01 -2.997578739425338e-01 -2.825021316119052e-01 -2.640144865157756e-01 -2.825021316095658e-01 -2.640144865118969e-01 -4.139021544166024e-01
 -4.162905775197073e-01 -4.156933372435359e-01 -4.162905485893709e-01 -4.139021342256695e-01 -4.067431727667132e-01 -4.109181455621294e-01 -4.067431657053815e-01 -3.948285307211257e-01 -4.013792726633863e-01 -3.948285290310276e-01
 -3.781729236191004e-01 -3.870926729227577e-01 -3.781729225256680e-01 -4.156901577189199e-01 -4.162870634548554e-01 -4.159347850914701e-01 -4.160793006902610e-01 -4.155006231707786e-01 -4.138997174535957e-01 -4.137557957681802e-01
 -4.109166173592577e-01 -4.067423598572242e-01 -4.108256232977250e-01 -4.066944427467233e-01 -4.149016632554686e-01 -4.150217483671294e-01 -4.095197777501456e-01 -4.095144545064294e-01 -4.095339232092004e-01 -4.145373892791055e-01
 -4.095518254172215e-01 -4.095653154788700e-01 -4.139178354798033e-01 -4.130273016602964e-01 -4.095357224594663e-01 -4.093466863173590e-01 -4.004127893430874e-01 -4.003346932090400e-01 -3.592172972839449e-01 -3.581593053959326e-01
 -4.006406591322151e-01 -3.607979065937326e-01 -3.621632771932581e-01 -4.010005310451043e-01 -3.644351221577233e-01 -3.664593085476694e-01 -4.014653317605226e-01 -3.715448606582715e-01 -4.025696881855794e-01 -3.827131419712285e-01
 -4.036575254210608e-01 -3.864706310749467e-01 -3.892903387763938e-01 6.660658262780188e+00 6.830763618492805e+00 6.449980501483787e+00 6.157005077399459e+00 5.783408225424246e+00 5.329068497459156e+00 4.168380377650807e+00
 1.337109443347790e+01 1.337248827865927e+01 1.337033949308301e+01 1.336660832715331e+01 1.336424741453682e+01 1.335773768090193e+01 1.333612354913681e+01 4.165855275773328e-01 1.041550022666509e+01 -3.234487032019994e-01
 7.961338701023265e+00 -3.474742316910116e-01 -3.566768836730491e-01 6.709022036211342e+00 5.416405471919179e+00 1.341167901225878e+01 1.341214067731411e+01 1.341027797314925e+01 1.340788390304296e+01 1.340438464400349e+01
 1.343073291003765e+01 1.343110065410015e+01 1.342962196804579e+01 1.342774537665595e+01 1.342506068664207e+01 1.338983902763017e+01 1.341695720380623e+01 1.337610274003936e+01 1.341126214815879e+01 1.336721757601472e+01
 1.335126244662795e+01 1.340411589263847e+01 -4.103671422998686e-01 -4.088978569666923e-01 -4.081054478145915e-01 -4.064539152065693e-01 -4.069123044191135e-01 -4.052892730975753e-01 -4.044632911116250e-01 -3.918316018532869e-01
 -3.940508253733740e-01 -4.047932189397362e-01 -3.959291561094186e-01 -3.974601903271319e-01 -3.660615071203887e-01 -3.734340080033752e-01 4.038963487561204e+00 2.493548188537428e+00 -3.823282647566112e-01 9.308311289185650e-01
 -1.460197630399305e-01 1.329170898454375e+01 1.209978360281069e+01 1.339413324282209e+01 1.034811249637849e+01 8.473087452884744e+00 1.338587497188164e+01 1.337485318958149e+01 -3.871296910333533e-01 -3.401569835560646e-01
